TRIP_NO,route_index,mean_distance,median_distance,max_distance,inlier_ratio,num_routes
TRIP_436046,0,227.53491689314237,121.09459535160632,1834.1721635456618,0.45588235294117646,6
TRIP_436116,0,162.84796400529348,78.43325172189653,1442.6279203543925,0.5978260869565217,6
TRIP_436229,0,665.7593100839304,513.2890509968456,2175.383128260597,0.2872340425531915,6
TRIP_436234,2,373.3131205773294,94.82449338908876,2673.309716955513,0.5128205128205128,6
TRIP_436243,0,51.11544031963186,38.92937540886483,276.2130031461548,0.8191489361702128,6
TRIP_436284,2,216.33927406048497,138.83483775269758,1083.7836256833823,0.38461538461538464,6
TRIP_436295,1,439.9101570807298,98.12840305019246,1439.415132169666,0.5263157894736842,5
TRIP_436307,5,111.49849220293432,101.92341876925921,392.85072921740823,0.4925373134328358,6
TRIP_436310,0,445.57100777849615,188.97151886398296,3501.4722709438597,0.3684210526315789,6
TRIP_436330,5,9420.47020696657,12483.505692177649,21937.422302924933,0.1171875,6
TRIP_436553,3,323.62375652546564,204.99940315487754,872.6912169119823,0.3076923076923077,5
TRIP_436725,3,327.79860990266684,90.33337731354094,3501.4722709438597,0.5135135135135135,6
TRIP_436823,4,974.1723440502602,343.3820701072784,3559.0240791865417,0.3020833333333333,6
TRIP_436848,0,208.7062288655133,96.15453275041611,2018.996374750047,0.525,6
TRIP_436859,0,94.33200033933967,28.72290870037388,890.5185029795147,0.7934782608695652,6
TRIP_436888,4,560.2702582600408,146.66998444100835,3492.7088110668114,0.29850746268656714,6
TRIP_436894,4,255.18511145530533,147.27733080100057,1648.0635067939709,0.46875,6
TRIP_437005,0,2905.200550960581,1625.799606926536,9080.97741633824,0.14432989690721648,6
TRIP_437116,1,272.9423960145929,83.39191620458274,2051.568166870384,0.5581395348837209,6
TRIP_437162,1,101.41837981445701,28.426447772009514,902.1107125711334,0.7125,6
TRIP_437178,0,281.28102870093977,120.64776330190585,3420.575700033235,0.4696969696969697,6
TRIP_437180,0,1260.2182772707663,125.40678689354581,5913.033254381496,0.45263157894736844,6
TRIP_437215,3,1427.0691482142774,370.61494243641204,4988.871479653909,0.3148148148148148,6
TRIP_437219,0,195.50427288028385,127.9646757246926,2039.316000175918,0.4444444444444444,6
TRIP_437427,4,469.7615356208569,107.46749840575079,2716.301568311017,0.4766355140186916,6
TRIP_437516,2,329.8758454902518,145.05994031723458,4177.405419777109,0.4507042253521127,6
TRIP_437530,2,55.0905026061419,50.010933032748625,146.46497613847143,0.6666666666666666,4
TRIP_437535,1,124.69405041575764,87.44868241793648,668.0263010469223,0.55,6
TRIP_437590,1,665.3695338677467,304.28666772397173,2277.3346589779694,0.3617021276595745,6
TRIP_437609,1,159.5288147784458,71.08272190585417,1293.6676688917273,0.5625,4
TRIP_437622,2,192.78670821981666,59.19402416397445,2135.0545021082644,0.6025641025641025,6
TRIP_437714,0,11015.99996250015,15058.47314666795,21271.984373072686,0.1511627906976744,6
TRIP_437789,2,324.48210484490096,92.07353700787222,3434.474352935867,0.5465116279069767,6
TRIP_437828,0,336.55088054404007,206.37134145623645,1841.912967183461,0.34,6
TRIP_437842,3,182.92392013477817,17.316078154110595,1331.1132498498469,0.8823529411764706,6
TRIP_437863,5,304.7891589380063,53.76618658600725,2260.2269824103623,0.6851851851851852,6
TRIP_437870,0,322.9209176387161,75.0863630167934,3520.1591864367533,0.6428571428571429,6
TRIP_437880,0,203.9511033133667,75.57251494307638,1873.7065663864666,0.5517241379310345,6
TRIP_437928,0,223.2566374075376,148.49797991862803,2046.5972033742119,0.37735849056603776,6
TRIP_437950,2,394.6556618894976,182.0945867924304,1990.7049869032246,0.4067796610169492,6
TRIP_437968,4,358.34549375033794,54.36981761815825,996.5776963544201,0.6666666666666666,6
TRIP_437974,5,724.340741765453,102.45184356994582,5170.7477581618095,0.4782608695652174,6
TRIP_438003,0,82.00875694581624,23.971421690171567,2131.543295865413,0.7971014492753623,6
